team,seed,p_r1_win,p_round_of_32,p_sweet_sixteen,p_elite_eight,p_final_four,p_champion
Michigan,1,0.9582,0.9582,0.901,0.8347,0.7357,0.5499
Duke,1,0.9873,0.9457,0.84,0.7598,0.5257,0.2518
Arizona,1,0.9932,0.9016,0.8122,0.6398,0.2871,0.1176
Houston,2,0.9838,0.8413,0.6005,0.4075,0.1067,0.0252
Purdue,2,0.9797,0.8327,0.5997,0.2145,0.0922,0.0197
UConn,2,0.9901,0.7439,0.4465,0.0855,0.0254,0.0048
Iowa State,2,0.9728,0.726,0.4979,0.0565,0.022,0.004
Illinois,3,0.9716,0.6862,0.2533,0.1367,0.0202,0.0036
Nebraska,4,0.9932,0.4654,0.2767,0.1227,0.0304,0.0034
Florida,1,0.7615,0.7615,0.3622,0.1492,0.0236,0.0029
Michigan State,3,0.9393,0.6344,0.3413,0.0631,0.0155,0.0025
Vanderbilt,5,0.9286,0.5318,0.3046,0.1202,0.0295,0.0025
Texas Tech,5,0.8311,0.4993,0.0484,0.0293,0.0139,0.0024
Gonzaga,3,0.951,0.686,0.2781,0.0694,0.0105,0.0022
St. John's,5,0.9207,0.5283,0.094,0.0422,0.0102,0.0017
Virginia,3,0.9865,0.6723,0.2865,0.04,0.0134,0.0016
Arkansas,4,0.9666,0.7086,0.115,0.0382,0.0061,0.0009
Kansas,4,0.9737,0.4596,0.0519,0.0248,0.0041,0.0006
Alabama,4,0.9515,0.4691,0.036,0.0195,0.0028,0.0006
Louisville,6,0.8706,0.3461,0.1361,0.0136,0.0019,0.0005
UNC,6,0.8008,0.271,0.0856,0.035,0.0061,0.0003
Ohio State,8,0.7183,0.0431,0.0128,0.0038,0.0005,0.0002
Santa Clara,10,0.6062,0.1517,0.055,0.0058,0.0012,0.0002
UCLA,7,0.6152,0.1793,0.0538,0.0056,0.0006,0.0001
UCF,10,0.3848,0.0762,0.0201,0.0015,0.0005,0.0001
Tennessee,6,0.3274,0.3274,0.1198,0.0087,0.0021,0.0001
Saint Louis,9,0.6024,0.0304,0.0114,0.0031,0.0007,0.0001
Iowa,9,0.6293,0.1225,0.0293,0.0065,0.0005,0.0001
Wisconsin,5,0.879,0.2805,0.0271,0.006,0.0011,0.0001
BYU,6,0.3135,0.3135,0.0897,0.015,0.0016,0.0001
Miami,7,0.7539,0.1494,0.031,0.0021,0.0006,0.0001
Villanova,8,0.5905,0.0507,0.0221,0.0065,0.0017,0.0001
TCU,9,0.2817,0.0108,0.0012,0.0,0.0,0.0
South Florida,11,0.1294,0.0151,0.0021,0.0001,0.0,0.0
Northern Iowa,12,0.0793,0.0104,0.0001,0.0,0.0,0.0
California Baptist,13,0.0263,0.0017,0.0,0.0,0.0,0.0
North Dakota State,14,0.0607,0.0044,0.0001,0.0,0.0,0.0
Furman,15,0.0099,0.0006,0.0,0.0,0.0,0.0
Siena,16,0.0127,0.0004,0.0,0.0,0.0,0.0
Kentucky,7,0.3938,0.1216,0.0408,0.0017,0.0006,0.0
Georgia,8,0.3976,0.0114,0.0022,0.0007,0.0001,0.0
Akron,12,0.1689,0.0293,0.0009,0.0,0.0,0.0
Hofstra,13,0.0485,0.0023,0.0001,0.0,0.0,0.0
Wright State,14,0.0135,0.0003,0.0,0.0,0.0,0.0
Tennessee State,15,0.0272,0.0007,0.0,0.0,0.0,0.0
Saint Mary's,7,0.6926,0.1305,0.0492,0.0148,0.003,0.0
Clemson,8,0.3707,0.116,0.0269,0.0056,0.0003,0.0
Texas A&M,10,0.3074,0.0279,0.0062,0.0013,0.0002,0.0
VCU,11,0.1992,0.0426,0.0052,0.0005,0.0001,0.0
McNeese,12,0.0714,0.0026,0.0003,0.0,0.0,0.0
Troy,13,0.0068,0.0002,0.0,0.0,0.0,0.0
Penn,14,0.0284,0.0002,0.0,0.0,0.0,0.0
Idaho,15,0.0162,0.0003,0.0,0.0,0.0,0.0
Utah State,9,0.4095,0.0476,0.0231,0.0085,0.0016,0.0
Missouri,10,0.2461,0.0173,0.0015,0.0,0.0,0.0
High Point,12,0.121,0.009,0.0005,0.0,0.0,0.0
Hawaii,13,0.0334,0.0019,0.0,0.0,0.0,0.0
Kennesaw State,14,0.049,0.0005,0.0,0.0,0.0,0.0
Queens (NC),15,0.0203,0.0006,0.0,0.0,0.0,0.0
LIU,16,0.0068,0.0001,0.0,0.0,0.0,0.0
