year,round,round_name,team_a,team_b,seed_a,seed_b,seed_diff,srs_diff,sos_diff,ortg_diff,drtg_diff,pace_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,win_pct_diff,conf_win_pct_diff,prospect_diff,conf_champion_a,conf_champion_b,conf_tourn_champion_a,conf_tourn_champion_b,outcome
2014,1,First Round,Virginia,Coastal Carolina,1,16,15,23.59,14.17,4.700000000000003,17.810000000000002,-7.999999999999993,0.017000000000000015,3.099999999999998,-1.8999999999999986,0.034999999999999976,0.19316375198728142,0.20138888888888884,6,1,1,1,1,1
2014,1,First Round,Coastal Carolina,Virginia,16,1,-15,-23.59,-14.17,-4.700000000000003,-17.810000000000002,7.999999999999993,-0.017000000000000015,-3.099999999999998,1.8999999999999986,-0.034999999999999976,-0.19316375198728142,-0.20138888888888884,-6,1,1,1,1,0
2014,1,First Round,Memphis,George Washington,8,9,1,2.42,2.7199999999999998,0.9000000000000057,1.5300000000000011,2.6999999999999886,0.007000000000000006,0.3999999999999986,0.5,-0.067,-0.021390374331550777,-0.02083333333333337,-2,0,0,0,0,1
2014,1,First Round,George Washington,Memphis,9,8,-1,-2.42,-2.7199999999999998,-0.9000000000000057,-1.5300000000000011,-2.6999999999999886,-0.007000000000000006,-0.3999999999999986,-0.5,0.067,0.021390374331550777,0.02083333333333337,2,0,0,0,0,0
2014,1,First Round,Harvard,Cincinnati,12,5,-7,-4.470000000000001,-5.75,4.0,-5.519999999999996,0.9999999999999929,0.04200000000000004,-0.5999999999999996,-6.300000000000004,0.09299999999999997,0.049632352941176516,0.09523809523809523,-2,1,1,0,0,1
2014,1,First Round,Cincinnati,Harvard,5,12,7,4.470000000000001,5.75,-4.0,5.519999999999996,-0.9999999999999929,-0.04200000000000004,0.5999999999999996,6.300000000000004,-0.09299999999999997,-0.049632352941176516,-0.09523809523809523,2,1,1,0,0,0
2014,1,First Round,Michigan State,Delaware,4,13,9,16.62,10.48,1.5999999999999943,14.929999999999993,-4.900000000000006,0.041000000000000036,-3.0999999999999996,3.1000000000000014,-0.10199999999999998,0.048872180451127845,-0.20833333333333337,9,0,1,1,1,1
2014,1,First Round,Delaware,Michigan State,13,4,-9,-16.62,-10.48,-1.5999999999999943,-14.929999999999993,4.900000000000006,-0.041000000000000036,3.0999999999999996,-3.1000000000000014,0.10199999999999998,-0.048872180451127845,0.20833333333333337,-9,1,0,1,1,0
2014,1,First Round,UNC,Providence,6,11,5,3.870000000000001,0.5700000000000003,-0.5999999999999943,6.569999999999993,5.099999999999994,0.016000000000000014,0.5,2.700000000000003,0.010000000000000009,0.04873949579831938,0.16666666666666663,5,0,0,0,1,1
2014,1,First Round,Providence,UNC,11,6,-5,-3.870000000000001,-0.5700000000000003,0.5999999999999943,-6.569999999999993,-5.099999999999994,-0.016000000000000014,-0.5,-2.700000000000003,-0.010000000000000009,-0.04873949579831938,-0.16666666666666663,-5,0,0,1,0,0
2014,1,First Round,Iowa State,North Carolina Central,3,14,11,14.549999999999999,17.91,1.4000000000000057,5.829999999999998,6.900000000000006,0.029000000000000026,2.200000000000001,-7.800000000000001,-0.11199999999999999,-0.04575163398692805,-0.3300653594771241,7,0,1,1,1,1
2014,1,First Round,North Carolina Central,Iowa State,14,3,-11,-14.549999999999999,-17.91,-1.4000000000000057,-5.829999999999998,-6.900000000000006,-0.029000000000000026,-2.200000000000001,7.800000000000001,0.11199999999999999,0.04575163398692805,0.3300653594771241,-7,1,0,1,1,0
